DIPUTADO	BLOQUE	PROVINCIA	142-21-1	142-21-2	142-21-3	142-21-4	142-21-5	142-21-6	142-21-7	142-22-1	142-22-2	142-22-3	142-22-4	142-22-5	142-22-6	142-22-7	142-22-8	142-22-9	142-22-10
LEMOINE, LILIA	La Libertad Avanza	Buenos Aires	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO
LITZA, MONICA	Union Por La Patria	Buenos Aires	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO
LLANCAFILO, OSVALDO	Movimiento Popular  Neuquino	Neuquén	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO
LLANO, MERCEDES	La Libertad Avanza	Mendoza	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO
LOMBARDI, HERNAN	Pro	Buenos Aires	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	AUSENTE	AUSENTE	AFIRMATIVO
LOPEZ MURPHY, RICARDO HIPOLITO	Encuentro Federal	C.A.B.A.	NEGATIVO	ABSTENCION	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	ABSTENCION	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	AFIRMATIVO
LOPEZ RODRIGUEZ, DANTE	Union Por La Patria	Catamarca	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	ABSTENCION	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO
LOPEZ, JUAN MANUEL	Coalicion Civica	Buenos Aires	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AUSENTE	ABSTENCION	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO
LOSPENNATO, SILVIA	Pro	Buenos Aires	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO
MACHA, MONICA	Union Por La Patria	Buenos Aires	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO
